,A_count,B_count,Fc
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
0,,,0.0
